Dose,nob,litter,Dam ID,NCL,implant NO,Dead,left,Fetus No,Sex,Wt1,Wt,Mal
0,1,1,60,8,1,0,1,1,F,0.903,0.903,0
0,2,1,60,8,2,1,1,2,N,0.81,0.81,0
0,3,1,60,8,3,0,1,3,F,0.828,0.828,0
0,4,1,60,8,4,0,1,4,F,0.953,0.953,0
0,5,1,60,8,5,0,1,,,,0,0
0,6,1,60,8,6,0,0,5,F,0.954,0.954,0
0,7,1,60,8,7,0,0,6,M,1.07,1.07,0
0,8,1,60,8,8,0,0,7,M,1.065,1.065,0
0,9,1,60,8,9,0,0,8,M,0.959,0.959,0
0,10,2,61,15,1,0,1,1,F,1.025,1.025,0
0,11,2,61,15,2,0,1,2,M,1.006,1.006,0
0,12,2,61,15,3,0,1,3,M,1.069,1.069,0
0,13,2,61,15,4,0,1,4,F,0.825,0.825,0
0,14,2,61,15,5,0,1,5,F,1.013,1.013,0
0,15,2,61,15,6,0,1,6,F,0.994,0.994,0
0,16,2,61,15,7,0,1,7,M,1.059,1.059,0
0,17,2,61,15,8,0,0,8,M,1.041,1.041,0
0,18,2,61,15,9,0,0,9,M,1.02,1.02,0
0,19,2,61,15,10,0,0,10,M,1.041,1.041,0
0,20,2,61,15,11,0,0,11,M,0.911,0.911,0
0,21,2,61,15,12,0,0,,,,0,0
0,22,2,61,15,13,0,0,12,F,0.988,0.988,0
0,23,2,61,15,14,0,0,13,F,0.947,0.947,0
0,24,2,61,15,15,0,0,14,M,0.976,0.976,0
0,25,3,68,14,1,0,1,1,F,1.058,1.058,0
0,26,3,68,14,2,0,1,2,F,0.95,0.95,1
0,27,3,68,14,3,0,1,3,F,0.86,0.86,0
0,28,3,68,14,4,0,1,4,F,1.015,1.015,0
0,29,3,68,14,5,0,1,5,F,0.907,0.907,0
0,30,3,68,14,6,0,1,6,F,0.856,0.856,0
0,31,3,68,14,7,0,0,7,M,1.075,1.075,0
0,32,3,68,14,8,0,0,8,F,0.958,0.958,0
0,33,3,68,14,9,0,0,9,M,1.082,1.082,0
0,34,3,68,14,10,0,0,10,F,0.916,0.916,0
