Date,AMZN,DUK,KO
1/3/2007,38.700001,34.971017,17.874906
1/4/2007,38.900002,35.044103,17.882263
1/5/2007,38.369999,34.240172,17.757161
1/8/2007,37.5,34.294985,17.871225
1/9/2007,37.779999,34.130544,17.885944
1/10/2007,37.150002,33.984374,17.9117
1/11/2007,37.400002,34.075731,17.933777
1/12/2007,38.200001,33.91129,17.863866
1/16/2007,38.66,34.020917,17.845469
1/17/2007,37.880001,33.966104,17.882263
1/18/2007,36.98,34.130544,17.790276
1/19/2007,37.02,34.240172,17.757161
1/22/2007,36.950001,34.057458,17.672533
1/23/2007,36.43,34.112272,17.705649
1/24/2007,37.259998,34.258442,17.709329
1/25/2007,37.080002,34.569051,17.639418
1/26/2007,36.849998,34.861392,17.598945
1/29/2007,37.43,35.062373,17.55479
1/30/2007,37.049999,35.573966,17.591586
1/31/2007,37.669998,35.975932,17.617342
2/1/2007,38.700001,36.26827,17.698289
2/2/2007,37.389999,36.524068,17.749803
2/5/2007,37.16,37.072201,17.624701
2/6/2007,38.27,36.651965,17.679892
2/7/2007,38.98,36.524068,17.672533
2/8/2007,39.099998,36.834677,17.609983
2/9/2007,38.720001,36.834677,17.573187
2/12/2007,38.849998,36.907761,17.632059
2/13/2007,39.310001,37.254913,17.738764
2/14/2007,40.139999,37.033379,17.617342
2/15/2007,40.060001,36.922611,17.606302
2/16/2007,40.330002,36.848766,17.613662
2/20/2007,41.509998,36.830303,17.580546
2/21/2007,41.259998,36.830303,17.503278
2/22/2007,41,36.590307,17.403931
2/23/2007,40.779999,36.756459,17.389213
2/26/2007,40.880001,36.941071,17.55847
2/27/2007,38.830002,36.221081,17.069099
2/28/2007,39.139999,36.331849,17.175804
3/1/2007,38.849998,36.571846,17.116933
3/2/2007,37.689999,35.981085,16.885125
3/5/2007,37.049999,35.298016,17.032305
3/6/2007,38.580002,36.091853,17.267791
3/7/2007,38.360001,36.07339,17.20156
3/8/2007,38.099998,35.888777,17.34874
3/9/2007,38.84,35.538013,17.503278
3/12/2007,38.810001,36.165697,17.643098
3/13/2007,37.82,35.704165,17.439282
3/14/2007,38.080002,35.79647,17.43187
3/15/2007,37.779999,36.313387,17.446693
3/16/2007,37.849998,36.110313,17.494867
3/19/2007,38.450001,36.35031,17.539337
3/20/2007,38.580002,37.310299,17.646803
3/21/2007,39.799999,37.697984,17.883971
3/22/2007,39.490002,37.550295,17.880266
3/23/2007,38.98,37.457988,17.80615
3/26/2007,39.009998,37.716447,17.843209
3/27/2007,39.369999,37.494911,17.795034
3/28/2007,39.34,37.513372,17.75427
3/29/2007,39.810001,37.790292,17.828386
3/30/2007,39.790001,37.457988,17.787622
4/2/2007,40.419998,38.233364,17.980321
4/3/2007,41.189999,38.344132,18.154492
4/4/2007,41.529999,37.882599,18.328662
4/5/2007,41.68,38.159517,18.350897
4/9/2007,41.66,38.417977,18.39166
4/10/2007,41.860001,38.4549,18.55842
4/11/2007,41.68,37.771831,18.395365
4/12/2007,42.27,37.494911,18.406482
4/13/2007,42.41,37.605679,18.484304
4/16/2007,45.200001,38.067212,18.628828
4/17/2007,45.07,38.122596,19.110576
4/18/2007,44.990002,38.657973,19.143928
4/19/2007,44.639999,38.159517,19.17728
4/20/2007,44.950001,38.639513,19.303276
4/23/2007,44.77,38.565666,19.140223
4/24/2007,44.75,38.657973,19.162457
4/25/2007,56.810001,38.768741,19.173575
4/26/2007,62.779999,38.17798,19.299571
4/27/2007,62.599998,38.214901,19.292159
4/30/2007,61.330002,37.882599,19.340333
5/1/2007,62.040001,38.196441,19.503387
5/2/2007,61.18,38.399516,19.533032
5/3/2007,62.189999,38.270285,19.607147
5/4/2007,63.23,38.085672,19.71832
5/7/2007,60.82,38.547205,19.866551
5/8/2007,61.830002,38.141057,19.666439
5/9/2007,62.849998,37.935898,19.681263
5/10/2007,60.919998,37.581531,19.4478
5/11/2007,61.560001,37.823992,19.52562
5/14/2007,61.700001,38.308914,19.492269
5/15/2007,60.580002,38.159709,19.440388
5/16/2007,63.220001,38.159709,19.54415
5/17/2007,62.169998,38.215661,19.344039
5/18/2007,63.299999,38.047803,19.503387
5/21/2007,68.300003,38.029151,19.236572
5/22/2007,68.879997,37.842642,19.077224
5/23/2007,69,37.189862,19.021639
5/24/2007,69.349998,36.220015,18.988287
5/25/2007,68.550003,35.791046,19.22916
5/29/2007,69.629997,36.164062,19.336628
5/30/2007,69.860001,36.537081,19.659028
5/31/2007,69.139999,36.443826,19.636794
6/1/2007,68.580002,36.201365,19.566384
6/4/2007,70.419998,36.070809,19.518209
6/5/2007,73.650002,35.846998,19.388508
6/6/2007,72.290001,35.585887,19.269924
6/7/2007,72.040001,34.280324,19.040167
6/8/2007,73.239998,34.280324,19.147633
6/11/2007,71.169998,34.653343,19.132811
6/12/2007,70.07,34.037863,18.951229
6/13/2007,70.889999,34.839851,19.160141
6/14/2007,71.940002,34.765246,19.141488
6/15/2007,72.400002,35.399376,19.242214
6/18/2007,71.830002,34.839851,19.309362
6/19/2007,69.809998,35.231518,19.171332
6/20/2007,69.099998,34.336277,19.208638
6/21/2007,69.669998,34.858501,19.432471
6/22/2007,68.860001,34.019213,19.257135
6/25/2007,68.660004,34.00056,19.313094
6/26/2007,67.480003,33.96326,19.380244
6/27/2007,68.139999,34.224371,19.56304
6/28/2007,68.889999,34.019213,19.633922
6/29/2007,68.410004,34.131118,19.514544
7/2/2007,69.610001,34.504135,19.607808
7/3/2007,69.449997,34.541437,19.734647
7/5/2007,68.730003,34.354927,19.648843
7/6/2007,68.970001,33.795402,19.622729
7/9/2007,72.07,33.96326,19.660035
7/10/2007,70.279999,33.459685,19.436201
7/11/2007,70.730003,33.646193,19.432471
7/12/2007,72.790001,34.019213,19.633922
7/13/2007,75.099998,34.131118,19.812988
7/16/2007,73.690002,33.608893,20.089049
7/17/2007,73.790001,33.459685,19.835371
7/18/2007,73.32,33.646193,19.932366
7/19/2007,73.349998,33.664846,20.033091
7/20/2007,71.629997,33.496988,19.850293
7/23/2007,71.739998,33.590241,20.010707
7/24/2007,69.25,32.806905,19.854025
7/25/2007,86.18,32.95611,20.16366
7/26/2007,84.010002,32.750952,19.764491
7/27/2007,84.040001,32.098171,19.503351
7/30/2007,82.699997,32.060869,19.544388
7/31/2007,78.540001,31.762455,19.439933
8/1/2007,77.309998,32.862857,19.872677
8/2/2007,79.709999,33.534288,20.018169
8/3/2007,76.800003,31.911663,19.876407
8/6/2007,79,33.385082,20.23081
8/7/2007,79.139999,35.175568,20.316613
8/8/2007,77.779999,36.443826,20.838891
8/9/2007,74.110001,36.182715,20.83516
8/10/2007,74.779999,36.387873,20.510602
8/13/2007,74.870003,35.436679,20.338997
8/14/2007,73.449997,34.59739,20.197235
8/15/2007,72.379997,34.050018,20.081589
8/16/2007,72.790001,34.408638,19.988325
8/17/2007,75.019997,34.654012,20.312883
8/20/2007,74.699997,34.540763,20.338997
8/21/2007,77.489998,34.69176,20.156199
8/22/2007,78.5,34.899383,20.126355
8/23/2007,77.300003,34.880507,20.137546
8/24/2007,79.25,34.993755,20.145008
8/27/2007,78.650002,33.634774,20.148738
8/28/2007,76.220001,33.427154,19.868946
8/29/2007,79.050003,34.616261,19.96221
8/30/2007,78.68,34.106643,19.921175
8/31/2007,79.910004,34.616261,20.062935
9/4/2007,82.699997,35.314627,20.283038
9/5/2007,83.75,34.710634,20.02936
9/6/2007,86.209999,35.390125,20.391224
9/7/2007,84.519997,35.446749,20.365111
9/10/2007,83.339996,35.314627,20.357649
9/11/2007,86.279999,35.107004,20.76428
9/12/2007,87.300003,35.220252,20.959461
9/13/2007,87.260002,35.258003,20.970721
9/14/2007,87.769997,35.220252,21.169656
9/17/2007,86.910004,35.012631,20.749265
9/18/2007,88.75,35.710995,21.173409
9/19/2007,89,36.031866,21.252232
9/20/2007,89.650002,35.276877,21.135875
9/21/2007,91.300003,35.408999,21.225958
9/24/2007,92.589996,35.276877,21.282261
9/25/2007,93.480003,35.578872,21.402372
9/26/2007,93.43,35.861994,21.526236
9/27/2007,93.379997,35.710995,21.518731
9/28/2007,93.150002,35.276877,21.571279
10/1/2007,93.410004,35.918618,21.732679
10/2/2007,92.360001,36.05074,21.740185
10/3/2007,92.459999,36.258364,21.608814
10/4/2007,92.260002,36.428236,21.721418
10/5/2007,93.43,36.673608,21.796488
10/8/2007,95.849998,36.314988,21.695143
10/9/2007,95.32,36.465984,21.725172
10/10/2007,94.660004,36.163989,21.721418
10/11/2007,89.339996,35.673247,21.466181
10/12/2007,92.370003,36.012992,21.695143
10/15/2007,90.529999,35.65437,21.635088
10/16/2007,89.529999,35.786495,21.680129
10/17/2007,90.550003,35.427876,22.179343
10/18/2007,89.849998,35.503374,22.280688
10/19/2007,89.760002,34.748384,22.055478
10/22/2007,91.290001,35.031505,22.239399
10/23/2007,100.82,34.993755,22.427073
10/24/2007,88.730003,35.201378,22.588473
10/25/2007,88.209999,35.314627,23.008863
10/26/2007,90,35.4845,23.110208
10/29/2007,90.099998,35.937492,23.211552
10/30/2007,88.239998,35.805369,23.170263
10/31/2007,89.150002,36.182863,23.181523
11/1/2007,87.650002,35.522248,22.858725
11/2/2007,85.980003,35.918618,22.712338
11/5/2007,84.370003,36.541485,22.648529
11/6/2007,87.269997,36.673608,22.900012
11/7/2007,87.040001,35.918618,22.505896
11/8/2007,83.580002,36.80573,23.072673
11/9/2007,78.889999,36.711356,22.83245
11/12/2007,77,36.560359,22.468362
11/13/2007,79.860001,37.032227,22.911273
11/14/2007,78.510002,36.612275,23.031385
11/15/2007,77.849998,36.784074,23.25284
11/16/2007,78.599998,37.108582,23.504323
11/19/2007,79.18,37.375827,23.384212
11/20/2007,80.389999,37.986667,23.568133
11/21/2007,79.760002,37.853046,23.365445
11/23/2007,81.43,38.005755,23.384212
11/26/2007,81.300003,37.547623,23.170263
11/27/2007,85.589996,37.585802,23.639449
11/28/2007,90.300003,38.063021,23.771536
11/29/2007,89.150002,37.738513,23.696058
11/30/2007,90.559998,37.776689,23.435661
12/3/2007,90.910004,37.853046,23.4734
12/4/2007,94.410004,38.578419,23.680962
12/5/2007,93.190002,39.036548,23.794178
12/6/2007,94.209999,39.189259,23.801726
12/7/2007,94.309998,39.246526,23.831917
12/10/2007,93.019997,39.32288,23.877203
12/11/2007,90.75,38.502062,23.763988
12/12/2007,91.279999,38.998372,24.065896
12/13/2007,92.400002,39.437413,24.186658
12/14/2007,89.080002,39.055639,24.080992
12/17/2007,85.089996,38.482974,23.575295
12/18/2007,86.889999,38.941106,23.480948
12/19/2007,89.379997,38.578419,23.7187
12/20/2007,90.580002,38.826573,23.503591
12/21/2007,91.260002,39.112905,23.801726
12/24/2007,91.010002,39.170171,23.85456
12/26/2007,92.849998,39.246526,23.779082
12/27/2007,94.25,38.635686,23.511138
12/28/2007,94.449997,38.788394,23.499817
12/31/2007,92.639999,38.502062,23.16017
1/2/2008,96.25,37.700335,23.054502
1/3/2008,95.209999,37.814868,23.296029
1/4/2008,88.790001,37.79578,23.341315
1/7/2008,88.82,38.769306,23.892299
1/8/2008,87.879997,38.654774,23.990419
1/9/2008,85.220001,39.074727,24.631973
1/10/2008,84.260002,39.01746,24.741416
1/11/2008,81.080002,38.521153,24.065896
1/14/2008,82.870003,38.654774,24.265912
1/15/2008,80.239998,38.005755,24.005514
1/16/2008,80.349998,38.082109,23.643224
1/17/2008,80.120003,36.974962,23.413019
1/18/2008,79.760002,36.574097,22.922417
1/22/2008,78.480003,35.333326,22.186515
1/23/2008,73.970001,36.249588,22.216705
1/24/2008,77.669998,35.12335,22.597865
1/25/2008,77.599998,34.264354,22.043108
1/28/2008,75.82,34.989729,22.420494
1/29/2008,73.949997,35.027905,22.095942
1/30/2008,74.209999,35.12335,21.801581
1/31/2008,77.699997,35.60057,22.265765
2/1/2008,74.629997,36.058699,22.363885
2/4/2008,73.949997,36.726808,22.126133
2/5/2008,72.089996,35.352416,21.661949
2/6/2008,68.489998,35.963256,21.778937
2/7/2008,70.910004,35.10426,22.058203
2/8/2008,73.5,35.10426,22.360112
2/11/2008,75.190002,35.314238,22.454458
2/12/2008,74.449997,35.696012,22.61296
2/13/2008,77.730003,35.580116,22.412946
2/14/2008,75.800003,35.0779,22.095942
2/15/2008,72.959999,34.923373,22.175192
2/19/2008,72.080002,35.097215,21.926118
2/20/2008,73.639999,35.309693,21.975178
2/21/2008,69.900002,34.594999,21.884606
2/22/2008,72.080002,35.193796,21.986499
2/25/2008,73.269997,35.541485,22.178967
2/26/2008,71.690002,35.5608,22.462006
2/27/2008,70.870003,35.251744,22.66202
2/28/2008,67.849998,34.633632,22.439363
2/29/2008,64.470001,33.880306,22.061977
3/3/2008,62.43,34.170047,22.273313
3/4/2008,65.339996,34.189362,22.405398
3/5/2008,64.989998,34.034835,22.522388
3/6/2008,62.740002,33.339457,22.303503
3/7/2008,64.089996,33.107664,22.209157
3/10/2008,63.470001,33.069034,22.137454
3/11/2008,67.150002,34.363207,22.443137
3/12/2008,66.510002,33.860991,22.481116
3/13/2008,68.32,34.285943,22.382365
3/14/2008,68.220001,33.803043,21.850627
3/17/2008,66.529999,34.652947,21.911397
3/18/2008,71.699997,35.039267,22.564675
3/19/2008,70.169998,34.285943,22.773572
3/20/2008,73.190002,35.232429,23.18377
3/24/2008,75.949997,34.788159,23.236944
3/25/2008,75.169998,34.382524,23.324301
3/26/2008,73.800003,34.652947,23.22555
3/27/2008,70.800003,34.382524,23.28632
3/28/2008,69.760002,34.20868,23.145788
3/31/2008,71.300003,34.479103,23.119202
4/1/2008,76.699997,35.019952,23.335695
4/2/2008,77.370003,35.348325,22.963478
4/3/2008,74.940002,35.135848,23.00146
4/4/2008,76.870003,35.000636,22.883718
4/7/2008,76.900002,35.290377,22.929295
4/8/2008,77.300003,35.5608,22.982469
4/9/2008,74.389999,35.483537,23.085018
4/10/2008,74.830002,35.444904,23.293916
4/11/2008,71.989998,35.116533,22.898911
4/14/2008,72.610001,34.846107,23.168578
4/15/2008,72.5,34.846107,23.145788
4/16/2008,74.589996,35.638064,23.22555
4/17/2008,74.040001,35.386956,23.047038
4/18/2008,80.099998,35.522168,22.830544
4/21/2008,80.18,35.290377,22.921699
4/22/2008,79.599998,34.923373,22.746985
4/23/2008,81,35.522168,22.910305
4/24/2008,77.690002,35.193796,22.883718
4/25/2008,80.860001,35.676697,22.534291
4/28/2008,81.970001,35.309693,22.401356
4/29/2008,80.739998,35.155163,22.302605
4/30/2008,78.629997,35.367641,22.359576
5/1/2008,79.360001,36.063016,22.443135
5/2/2008,77.309998,36.681131,22.321595
5/5/2008,75.919998,36.178913,22.173469
5/6/2008,75.709999,36.236861,22.131689
5/7/2008,73.18,35.676697,21.660721
5/8/2008,72.790001,35.831226,21.37966
5/9/2008,72.410004,35.657382,21.326486
5/12/2008,74.529999,36.140282,21.42144
5/13/2008,74.559998,35.908489,21.45942
5/14/2008,74.199997,36.487969,21.474613
5/15/2008,76.120003,36.194819,21.653124
5/16/2008,76.459999,36.233904,21.675913
5/19/2008,82.290001,36.605233,21.846829
5/20/2008,80.720001,36.331624,21.68351
5/21/2008,78.300003,36.233904,21.516393
5/22/2008,79.260002,36.409797,22.131689
5/23/2008,78.349998,35.588966,22.268422
5/27/2008,80.620003,35.764859,22.253229
5/28/2008,80.080002,35.960295,21.816444
5/29/2008,80.349998,35.99938,21.979763
5/30/2008,81.620003,36.116642,21.748077
6/2/2008,80.230003,35.39353,21.649327
6/3/2008,80.110001,35.119918,21.42144
6/4/2008,81.5,35.471704,21.535383
6/5/2008,84.510002,35.510789,21.72149
6/6/2008,80.629997,34.572696,21.193551
6/9/2008,79.43,35.373984,21.21634
6/10/2008,79.620003,35.002656,22.032937
6/11/2008,77.279999,35.061287,21.845602
6/12/2008,76.150002,34.865851,21.845602
6/13/2008,79.169998,35.471704,21.188016
6/16/2008,81.699997,35.56942,20.713944
6/17/2008,82.970001,35.56942,20.629833
6/18/2008,82.519997,35.373984,20.32398
6/19/2008,84.260002,35.413073,20.400444
6/20/2008,81.099998,34.533607,20.515139
6/23/2008,80.68,34.670415,20.362211
6/24/2008,79.639999,34.318629,20.404266
6/25/2008,80.510002,34.670415,20.683358
6/26/2008,76.300003,33.673688,20.346919
6/27/2008,74.660004,33.36099,19.819321
6/30/2008,73.330002,33.966843,19.872846
7/1/2008,73.620003,33.751864,19.498175
7/2/2008,71.440002,33.732319,19.639632
7/3/2008,72,33.439166,19.681687
7/7/2008,72.489998,33.575971,19.609047
7/8/2008,75.040001,34.162279,19.677864
7/9/2008,70.610001,34.22091,19.45612
7/10/2008,70.629997,34.103648,19.131151
7/11/2008,68.540001,34.005931,19.219084
7/14/2008,66.279999,33.615057,19.482882
7/15/2008,67.029999,33.732319,19.800206
7/16/2008,71.839996,33.380535,20.01048
7/17/2008,72.110001,33.575971,19.245846
7/18/2008,69.120003,33.966843,19.127327
7/21/2008,68.480003,33.927757,18.96293
7/22/2008,67.970001,33.927757,19.631985
7/23/2008,70.540001,33.654145,20.071651
7/24/2008,78.720001,33.849581,19.826968
7/25/2008,78.309998,33.595514,19.903432
7/28/2008,75.980003,33.419621,19.555523
7/29/2008,78.209999,33.751864,19.716096
7/30/2008,78.209999,34.240455,19.616694
7/31/2008,76.339996,34.357717,19.689334
8/1/2008,75.75,33.556426,20.316333
8/4/2008,75.709999,33.9473,20.606895
8/5/2008,79.110001,34.514065,20.993035
8/6/2008,78.089996,34.084105,21.165078
8/7/2008,76.949997,34.045016,20.648949
8/8/2008,80.510002,35.530335,21.184194
8/11/2008,88.089996,36.233904,21.161254
8/12/2008,87.25,34.885394,20.947157
8/13/2008,86.690002,35.162576,21.10773
8/14/2008,88.029999,34.7864,21.03509
8/15/2008,86.400002,35.202174,21.050383
8/18/2008,83.110001,35.419959,20.771292
8/19/2008,81.290001,35.023985,20.771292
8/20/2008,82.129997,35.043783,20.778937
8/21/2008,83.260002,34.964589,20.45779
8/22/2008,85.260002,35.301169,20.786583
8/25/2008,82.849998,34.825998,20.48073
8/26/2008,81.760002,35.043783,20.461614
8/27/2008,81.730003,35.103179,20.56484
8/28/2008,83.419998,35.320967,20.308687
8/29/2008,80.809998,34.529016,19.907254
9/2/2008,81.410004,34.33103,19.865199
9/3/2008,80.769997,33.895457,19.750504
